Recipe Title,Region,Country,Servings,Calories (KCal),Protein (g),Fat (g),More Info,primary_key
Penne Nicoise,French,French,6,2106.43,64.78,34.38,more info,1808
Poireaux En Salade (Leeks Vinaigrette),French,French,4,1134.72,16.16,57.23,more info,1809
Au Gratin Potatoes With Zip,French,French,5,424.02,12.45,36.31,more info,1810
Garlicky French Fries,French,French,6,363.72,11.09,28.68,more info,1811
Filet Charlemagne Avec Champignons,French,French,6,684.71,5.93,54.86,more info,1812
Rosemary Potato Galette,French,French,6,684.6,21.4,57.61,more info,1813
Perfect Homemade Mayonnaise (Julia Child),French,French,2-2 3/4 cups,164.29,8.09,13.53,more info,1814
"Yes, Another Recipe for Raspberry Chocolate Truffles",French,French,30,2046.72,42.31,197.23,more info,1815
Watercress Soup,French,French,6,1450.99,22.09,112.1,more info,1816
Red Pickled Cabbage,French,French,12,982.31,1.27,108.14,more info,1817
Vegan Cream of Asparagus Soup,French,French,6,94.28,4.24,0.6,more info,1818
Crumble Aux Myrtilles (Blueberry Tart),French,French,8,1040.59,24.25,41.24,more info,1819
Celeriac With Butter and Lemon - Céleri - Rave Saute,French,French,4 side dishes,576.5,11.19,54.54,more info,1820
Romantic Wild Mushroom and Walnut Conchiglie for Two!,French,French,2,48630.3,64.54,5456.97,more info,1821
Yukon Gold Gruyère Galette,French,French,4-6,574.76,40.39,42.74,more info,1822
Carrot & Leek Mustard Tart (Dorie Greenspan),French,French,4-6,534.81,26.41,15.98,more info,1823
Low Fat Tomato and Zucchini Summer Gratin,French,French,6,1100.31,60.39,63.82,more info,1824
Gluten-Free French Toast,French,French,4 slices,229.44,13.92,3.19,more info,1825
Christmas Morning French Toast,French,French,6,1341.43,79.13,76.55,more info,1826
Fennel & Roasted Beet Salad With Bleu Vinaigrette,French,French,4-6,1908.87,8.66,192.62,more info,1827
French Onion Corn Chowder With Cauliflower,French,French,6-8,307.56,10.82,15.37,more info,1828
Chocolate French Toast,French,French,4,1346.93,99.44,76.79,more info,1829
Boulangère Potatoes,French,French,8,650.81,13.93,34.03,more info,1830
"Tricolor Crustless ""Quiche""",French,French,8-10,1369.91,54.53,90.04,more info,1831
Vegetarian Chicken Veronique,French,French,4,1377.22,17.39,114.77,more info,1832
Herbed Chevre Spread,French,French,8 ounces,454.18,31.49,33.75,more info,1833
Black Olive Paté - Paté D' Olives,French,French,1 bowl,637.12,46.16,47.21,more info,1834
"Goat Cheese, Scallion & Parsley Soufflés",French,French,4-6,1376.99,95.03,87.26,more info,1835
French Spring Soup,French,French,6-8,654.01,22.13,24.95,more info,1836
Gordon's Chocolate Velvet,French,French,6 Small Parfait Glasses,1289.02,15.36,63.14,more info,1837
Truffle Omelette - Omelette Aux Truffes,French,French,2,366.79,27.64,25.82,more info,1838
Zurie's Holey Rustic Olive-And-Cheddar Bread,French,French,1 bread,1034.81,58.11,87.25,more info,1839
Canelés De Bordeaux - French Rum and Vanilla Cakes,French,French,12-16 Canelé de Bordeaux,1339.94,27.4,36.92,more info,1840
"Potager Garden Salad With Mesclun Greens, Flowers and Herbs",French,French,4-6,92.84,1.66,0.8,more info,1841
Violet Mustard - Traditional French Moustarde Au Violette,French,French,2 cups of Violet Mustard,208.38,2.17,0.48,more info,1842
Soupe a La Tomate (France),French,French,4,229.59,7.46,8.18,more info,1843
"Limoncello, Raspberry & Mascarpone Mousse",French,French,8 Verrines,220.46,2.08,21.85,more info,1844
Slow Fried French Fries,French,French,4,716.67,19.41,0.72,more info,1845
Strawberry Sablee Tart,French,French,1 tart,1513.14,79.34,78.12,more info,1846
Creamy Eggs and Caramelized Onions,French,French,4,1232.96,75.43,68.97,more info,1847
Vegan French Onion Dip,French,French,2 1/2 cups,483.27,68.9,15.35,more info,1848
Elegant Eggplant (Aubergine) Caviar,French,French,1 1/2 cups,989.56,1,109.2,more info,1849
Croatian Simple French Beans Salad,French,French,3 portions,1144.97,56.49,18.8,more info,1850
Crockpot Ratatouille,French,French,6-8,631.42,6.46,55.15,more info,1851
Auberge Fig and Ginger Jam - Confiture,French,French,2 lb Jars,3623.51,0.14,0.03,more info,1852
Baked Brie En Croute,French,French,8,2984.94,33.59,223.28,more info,1853
Classic French Vinaigrette,French,French,1 1/2 cups,1955.89,0.96,216.36,more info,1854
Vegetarian French Dip Sandwiches,French,French,4,1031.4,48.13,61.39,more info,1855
Stewed Lentils & Tomatoes(Barefoot Contessa),French,French,6-8,272.33,7.59,1.82,more info,1856
Cheese Blintz,French,French,3-4,1066.92,60.55,56.72,more info,1857
Baked French Fries,French,French,4-6,336.38,0.1,38.2,more info,1858
Smashed Sandis,French,French,2-4,112.12,0.03,12.73,more info,1859
Tarragon Mayonnaise With Capers,French,French,1 1/4 cup,854.65,2.3,93.23,more info,1860
French Market Beignets,French,French,3 dozen or more,5145.95,83.86,82.43,more info,1861
Salade Gruyère De Comtè Pour Deux,French,French,2,1181.89,84.92,83.5,more info,1862
Pumpkin Soup With Coriander Pistou (France),French,French,6 bowls,202434.68,44885.11,1201.68,more info,1863
Coconut Almond French Toast,French,French,2,1277.96,15.25,98.21,more info,1864
Green Bean-Parmesan Soup,French,French,4,912.02,39.57,45.38,more info,1865
Baked Olives With Orange & Bay,French,French,6,262.99,40.99,1.21,more info,1866
Carrots in Raspberry Chambord Sauce,French,French,8,609.63,16.29,30.99,more info,1867
Strawberries and Raspberry Puree and Cream,French,French,1 bowl of Fraises Glacees,511.64,6.11,38.8,more info,1868
French Ponzu Dipping Sauce,French,French,4,493.94,12.71,34.9,more info,1869
Chocolate Almond Croissants,French,French,4,530.84,12.97,34.93,more info,1870
Raw Corn and Tomato Salad,French,French,4,2462.09,116.86,71.24,more info,1871
Mushroom Bourguignon,French,French,4,823.82,20.37,49.47,more info,1872
Double Grape Slushies,French,French,4,241.29,2.47,0.64,more info,1873
Basic Machine French Bread,French,French,1 2lb loaf,2340.87,41.18,9.1,more info,1874
Herbed Skillet Quiche,French,French,8,880.24,49.07,70.63,more info,1875
Upside Down Potato & Onion Tart,French,French,1 tart,1396.17,128.95,84.88,more info,1876
Provencal White Bean Dip,French,French,4,243.15,0.19,27.01,more info,1877
Wild Mushroom Fricassee,French,French,4,707.13,92.41,17.55,more info,1878
"Low Fat "" Mc Donald's"" French Fries",French,French,1,-,-,-,more info,1879
Sparkling Lavender-Infused Aperitif,French,French,1 drink,201.73,44.88,1.13,more info,1880
Savory Sage-Parmesan Sables,French,French,24 sables cookies,1106.45,66.85,63.3,more info,1881
Shawn Michael's Ratatouille Tartlet,French,French,4 tartlets,29095.74,502.12,113.52,more info,1882
Mushroom Terrine,French,French,1 pan,580.64,37.77,38.35,more info,1883
Pear and Raspberry Frangipane Tart,French,French,8,3916.43,45.23,285.3,more info,1884
Decadent and Delicious French Grand Marnier Soufflé,French,French,6 Individual Souffles,816.22,73.65,48.21,more info,1885
Cabbage Braised in Pineau Des Charentes,French,French,1 cabbage,1204.66,33.75,33.3,more info,1886
Chicory-Endive Roquefort and Walnut Salad,French,French,6-10,1323.15,2.35,141.32,more info,1887
Coriander Glazed Carrots,French,French,4,474.59,14.71,32.46,more info,1888
The Incredible French Toast Pizza Bake,French,French,4,581.32,38.58,28.07,more info,1889
"Sage, Onion & Wild Rice Risotto Cakes",French,French,10,1474.52,60.79,80.79,more info,1890
Ratatouille (Moosewood Cookbook),French,French,4-6,655.8,8.79,55.92,more info,1891
Nutty French Toast,French,French,4,380.93,26.65,23.04,more info,1892
Bear Claw French Toast,French,French,2,1247.58,42.15,101.06,more info,1893
Zoe's Famous Gluten Free Chocolate Cake,French,French,6-8,42819.04,467.32,2641.71,more info,1894
Provençale Stuffing,French,French,4,289.68,11.96,15.1,more info,1895
Coconut and White Chocolate Souffles With Mango-Rum Sauce,French,French,8,2675.02,81.67,144.57,more info,1896
Delicious French Beans,French,French,4,1978.86,106.5,18.35,more info,1897
Cinnamon-Espresso Cup Custard (Dorie Greenspan),French,French,4,877.96,32.29,28.22,more info,1898
Mushroom-Lentil Pate,French,French,1 1/4 Cups,646.31,46.81,41.81,more info,1899
Orange French Toast,French,French,4,2640.58,83.97,225.88,more info,1900
Lemon Verbena Jelly,French,French,5 six ounce jars,1292.62,40.25,20.11,more info,1901
French Puy Lentil Salad,French,French,4-6,603.66,14.48,43.21,more info,1902
Sugared French Toast,French,French,3-5,254.86,16.41,13.5,more info,1903
French Garlic Soup,French,French,4,1939.8,94.94,43.17,more info,1904
Vegan Crepe,French,French,8-10 crepes,723.14,13.37,4.37,more info,1905
Strawberry Souffle,French,French,6,223.72,20.04,1.19,more info,1906
"French Toast With Pears, Brie, and Cinnamon",French,French,8,2090.97,92.42,112.16,more info,1907
Vegetable Napoleon or Remy's Ratatouille in Roasted Pepper Sauce,French,French,6,692.9,14.3,47.75,more info,1908
Lentil Sprout Spread,French,French,1 1/2 cups,724.81,24.82,57.81,more info,1909
French Onion Bites,French,French,36 Appetizers,1228.01,68.32,85.99,more info,1910
Moosewood French Rice Salad,French,French,6,4550.6,60.36,282.35,more info,1911
Potato Spinach Gateau #5FIX,French,French,1 Gateau,143,12.56,9.51,more info,1912
Ratatouille from the Ritz,French,French,8,198.93,6.17,0.61,more info,1913
Green Lentils With Glazed Vegetables,French,French,4-6,1713.32,21.32,121.75,more info,1914
Mandarine Napoleon,French,French,1 highball,41.36,8.47,0.22,more info,1915
Potage a L' Oseille (Creamy Sorrel Soup),French,French,4-6,1209.38,27.23,47.04,more info,1916
Creme Caramel,French,French,8,1141.96,64.47,52.7,more info,1917
Peanut Butter and Banana French Toast,French,French,4,1254.82,51.19,78.46,more info,1918
White Mirepoix,French,French,"1 pound mirepoix, approx",58.55,1.34,0.24,more info,1919
Pear Sundae French Toast,French,French,6,3570.99,131.9,84.42,more info,1920
Tarte Tatin,French,French,4-6,9813.1,307.65,799.64,more info,1921
Crispy Baked Meringues,French,French,6,649.5,14.41,0.23,more info,1922
Camembert Parcel With Rhubarb and Cranberry Coulis,French,French,1 parcel to cut ito quarters,35754.46,1988.53,1915.76,more info,1923
The Best Vegetarian French Onion Soup,French,French,6-8,374.27,0,40.5,more info,1924
Tomates Provencal (Baked Tomatoes With Garlic),French,French,4,439.68,4,41.33,more info,1925
Soupe Savoyarde (Winter Soup),French,French,8,4256.13,181.86,95.12,more info,1926
Simple Garlic Mashed Potatoes - 4-Qt. Pressure Cooker,French,French,6-8,342,10.68,28.8,more info,1927
Riz Au Vin - Rice in White Wine,French,French,4 dinner plates,1254.26,30.92,35.08,more info,1928
Ratatouille,French,French,6,349.74,14.16,2.1,more info,1929
Mashed Potatoes With Creme Fraiche and Chives,French,French,12,1525.57,17.6,154.22,more info,1930
French Coleslaw,French,French,8,44.68,1.73,0.32,more info,1931
Roasted Sweet Onions Julia Child,French,French,2,273.06,9.8,12.36,more info,1932
Ratatouille (Crock Pot),French,French,6-8,650.7,13.65,42.33,more info,1933
Stuffed French Toast and Berries,French,French,6 sandwhiches,6421.61,255.27,137.16,more info,1934
Perfect French Omelet (Cook's Illustrated),French,French,2 omelets,721.51,42.97,59.19,more info,1935
French Walnut Bread,French,French,12-14 slices,1222.71,93.75,8.6,more info,1936
French Antilles Vinaigrette,French,French,1,1.14,0,0,more info,1937
Apple French Toast,French,French,2,1068.36,42.55,62.56,more info,1938
Easy Pumpkin-Maple Breakfast Souffles,French,French,6,442.72,25.15,19.1,more info,1939
Tian (Provencal Baked Vegetables),French,French,6,1008.14,14.13,83.18,more info,1940
Homemade Cassis (Martha Stewart),French,French,10,947.1,3.13,0.91,more info,1941
Iced Cafe Brulot Floats With Frozen Yogurt,French,French,4 Floats,254.07,8.37,5.73,more info,1942
Easy Chocolate Soufflé (Mark Bittman),French,French,2,603.48,22.67,22.28,more info,1943
French Peas,French,French,12,786.97,37.09,34.47,more info,1944
Cucumbers With Mint Vinaigrette,French,French,4-6,121.24,0,13.5,more info,1945
Provencal Roast Tomatoes,French,French,4,465.72,20.39,28.9,more info,1946
French Pumpkin Pie,French,French,1 pie,3833.36,75.87,239.84,more info,1947
Cheese-Filled French Toast With Strawberry Sauce,French,French,6,856.86,51.39,61.31,more info,1948
Kahlua French Cocktail,French,French,1,32.3,5.72,0.16,more info,1949
Vegetarian Pot Pie,French,French,8,2254.3,117.93,100.6,more info,1950
Apple-Brie Omelet,French,French,1,476.27,23.48,36.03,more info,1951
Strawberry Croissant French Toast,French,French,8,1544.22,44.79,88.81,more info,1952
Goat Cheese Stuffed Tomatoes,French,French,4,338.83,47.46,2.78,more info,1953
Tempura Beet Rollatini With Balsamic Gastrique,French,French,24 rollatini,979.08,41.8,19.8,more info,1954
Pistou Sauce or French Pesto ( Vegan ),French,French,3/4 cup,253.14,1.13,27.18,more info,1955
French Walnut Oil Vinaigrette,French,French,2 lunch salads,494.97,0.07,54.4,more info,1956
Dan's Garlic Bread,French,French,4 loaves,245819.9,3996.11,953.7,more info,1957
Champagne Syllabub,French,French,4,115996.48,967.87,12296.06,more info,1958
French Toast Extraordinaire,French,French,6,6484.05,297.6,166.67,more info,1959
Posh French Mash,French,French,4-6,1061.97,64.6,82.58,more info,1960
Provencal Style Ratatouille,French,French,6,2164.06,8.52,217.19,more info,1961
French Herb-Marinated Mushrooms,French,French,1 pint,188.4,10.53,2.36,more info,1962
Butternut Squash Soup,French,French,6-7 cups,2.88,0.03,0.19,more info,1963
Pommes Croustillantes (France),French,French,8,1499.73,33.78,50.27,more info,1964
Eggplant and Tomato Gratin,French,French,4,788.18,56.28,15.55,more info,1965
"Pears With Maple Syrup, Pecans and Cranberries - Microwave",French,French,4,746.85,7.85,61.25,more info,1966
Vegan Pan Bagnat,French,French,5,1181.55,62.72,18.45,more info,1967
Steamed Buttered Radishes - Radis Au Beurre à La Vapeur,French,French,4 side dishes,451.19,13.61,27.53,more info,1968
Classic French Potato Leek Soup (Can Be Made Vegan!),French,French,2 quarts,540.22,6.37,48.02,more info,1969
French Potato Gratin,French,French,4,4077.06,99.84,62.41,more info,1970
Basic French Tart Dough-Pate Brisee (Dorie Greenspan),French,French,1 tart crust,700.73,7,73.86,more info,1971
Individual Peach Pastries,French,French,4 2,296.82,5.5,7.97,more info,1972
Mendiants - Beautiful Little Chocolates,French,French,50 chocolates,2613.09,19.52,189.96,more info,1973
Figs in Scented Syrup,French,French,4 pints,1635.46,0.54,0.69,more info,1974
Creamy Carrot Ginger Soup With Ginger Garlic Bread,French,French,6,1881.87,56.82,139,more info,1975
Spinach Quiche,French,French,1 quiche,1165.68,59.89,94.74,more info,1976
Jacques Pepin's Clear Vegetable Stock,French,French,2 quarts,250.76,7.39,2.08,more info,1977
Lentil-Walnut Spread,French,French,2 1/2 cups,246.63,9.71,15.14,more info,1978
Lemon Thyme Sorbet,French,French,8,1069.06,12.92,2.6,more info,1979
Goat Cheese and Tart Apple on French Bread Appetizer,French,French,24 Pieces,3279.4,209.36,263.8,more info,1980
French Market Soup Mix,French,French,14,9856.34,740.16,60.68,more info,1981
No Brainer Cheese and Egg Souffle,French,French,3,478.61,40.24,31.18,more info,1982
Rays of Sunshine - Homemade Candied Orange Peel,French,French,1 Large Jar,0,0,0,more info,1983
Herb Salad,French,French,4-6,479.73,15.28,28.93,more info,1984
Poached Peaches With Raspberry Sauce,French,French,6,530.91,2.95,1.59,more info,1985
Brie Cheese Appetizer (France),French,French,8,257.04,9.89,8.02,more info,1986
Cream of Leek and Herb Soup With Cheese Croutons,French,French,4-6,1130.34,13.69,105.8,more info,1987
French Mojito,French,French,2,224.51,4.29,0.12,more info,1988
Baked Blueberry Pecan French Toast With Blueberry Syrup,French,French,6,1827.31,53.29,87.06,more info,1989
Summer Squash and Fennel Galette,French,French,4-8,1677.41,108.08,97.57,more info,1990
Watercress Soup (Julia Child),French,French,4,162.87,4,0.8,more info,1991
Ratatouille With Chickpeas -- Crock-Pot,French,French,6,1580.7,75.54,33.89,more info,1992
Winter Squash Souffle,French,French,6,1275.67,77.76,88.91,more info,1993
"Crustless Leek, Greens, and Herb Quiche",French,French,4,595.9,54.64,36.06,more info,1994
Tex-Mex Souffle,French,French,10-12,2584.56,155.24,181.93,more info,1995
Creamy French Lentils With Celery Root and Garlic,French,French,4 main dish servings,261.34,16.88,8.69,more info,1996
Homemade Nutella -- Better Than the Real Thing!,French,French,2 cups,478.8,0,24.01,more info,1997
Tomato and Camembert Tart,French,French,12,2280.7,69.33,135.34,more info,1998
"Potato, Beetroot and Sweet Potato Gratin",French,French,8,1663.53,46.72,155.88,more info,1999
California Italian Wedding Soup,Italian,Italian,6,780.54,118.63,21.88,more info,2000
Jamie's Minestrone,Italian,Italian,8,1378.96,63.38,52.7,more info,2001
Tuscan Style Bean Soup,Italian,Italian,6,890.75,61.69,24.75,more info,2002
Mediterranean Fish Stew,Italian,Italian,6,1054.13,145.57,20.58,more info,2003
Rosemary Tomato Leek Soup,Italian,Italian,6,512.61,18.95,30.69,more info,2004
Amazing Gnocchi Soup,Italian,Italian,3,993.16,106.76,44.52,more info,2005
Creamy Chicken Tortellini Soup,Italian,Italian,4,895.48,74.23,39.19,more info,2006
Bek's Minestrone Soup,Italian,Italian,6,1933.18,101.39,44.63,more info,2007
Slow Cooker Vegetarian Minestrone,Italian,Italian,8,1392.03,68.14,27.36,more info,2008
Home-Style Minestrone,Italian,Italian,10,475.36,20.74,21.46,more info,2009
Pasta e Fagioli a la Chez Ivano,Italian,Italian,20,3456.97,396.48,157.61,more info,2010
Fat Granny's Minestrone Soup,Italian,Italian,6,1733.54,64.15,116.96,more info,2011
Venison Italian Soup,Italian,Italian,8,279.6,12.19,2.14,more info,2012
Bean Soup With Kale,Italian,Italian,8,2219.07,140.61,8.67,more info,2013
Chef John's Italian Wedding Soup,Italian,Italian,8,1234.46,59.87,85.64,more info,2014
"Tuscan Bean, Chicken, and Italian Sausage Soup",Italian,Italian,6,2565.78,206.83,9.84,more info,2015
Green Minestrone,Italian,Italian,6,3532.69,171.88,74.58,more info,2016
Poor Man's Pasta Fagioli,Italian,Italian,8,1112.14,125.63,8.38,more info,2017
Stracciatella II,Italian,Italian,12,1835.74,125.41,34.48,more info,2018
Andrea's Pasta Fagioli,Italian,Italian,8,979.2,110.68,45.32,more info,2019
Minestrone Vegetable Soup,Italian,Italian,10,1302.13,47.15,22.13,more info,2020
Cream of Chicken and Gnocchi Soup,Italian,Italian,8,1332.54,54.14,107.93,more info,2021
Italian Zucchini Soup,Italian,Italian,10,682.84,17.64,3.87,more info,2022
Red Winter Minestrone with Winter Greens Pesto,Italian,Italian,4,329.75,15.59,1.42,more info,2023
Spicy and Creamy Vegetable Soup,Italian,Italian,10,556.36,10.55,36.35,more info,2024
KK's Italian Meatball Soup,Italian,Italian,8,3012,199.91,49.3,more info,2025
Italian Halibut Chowder,Italian,Italian,8,1820.3,236.99,62.21,more info,2026
Tortellini Minestrone Soup,Italian,Italian,8,3152.99,180.24,231.4,more info,2027
Hearty Italian Meatball Soup,Italian,Italian,8,134.9,17.91,2.91,more info,2028
Cabbage and Smoked Sausage Soup,Italian,Italian,8,2933,143.11,159.46,more info,2029
Easy Lasagna Soup,Italian,Italian,8,1315.74,109.16,82.6,more info,2030
"Italian Vegetable Soup with Beans, Spinach & Pesto",Italian,Italian,10,1389.53,175.44,40.63,more info,2031
Northern Italian Beef Stew,Italian,Italian,8,1919.38,206.04,35.09,more info,2032
Italian Vegetable Soup,Italian,Italian,6,706.61,37.34,13.47,more info,2033
Mom's Italian Tortellini Soup,Italian,Italian,6,481.28,75.64,3.76,more info,2034
Grilled Chicken and Artichoke Soup,Italian,Italian,8,1961.25,196.1,102.59,more info,2035
Chicken and Artichoke Minestrone,Italian,Italian,12,662.44,13.53,30.79,more info,2036
Tomato Orzo Soup with Kale,Italian,Italian,8,1905.33,74.4,71.21,more info,2037
Macho Minestrone,Italian,Italian,12,1425.43,113.15,77.82,more info,2038
Mama Kathy's Minestrone,Italian,Italian,6,2177.17,172.37,92.34,more info,2039
Jackie's Sausage Soup,Italian,Italian,8,3347.38,237.9,235.86,more info,2040
Quick 'n Easy Meatball Soup,Italian,Italian,8,1691.06,120.98,29.55,more info,2041
Quick Italian Vegetable Soup,Italian,Italian,6,399.92,11.49,15.87,more info,2042
Judy's Hearty Vegetable Minestrone Soup,Italian,Italian,6,625.96,21.12,30.45,more info,2043
"Savory Kale, Cannellini Bean, and Potato Soup",Italian,Italian,6,356.46,36.86,8.34,more info,2044
"Kale, White Bean, and Farro Stew",Italian,Italian,6,547.03,20.08,8.44,more info,2045
Mama's Italian Wedding Soup,Italian,Italian,10,1145.29,129.64,16.24,more info,2046
Quick Super-Delicious Zuppa Toscana,Italian,Italian,6,2081.76,211.06,114.03,more info,2047
Best Darn Minestrone Soup Around,Italian,Italian,12,5083.59,227.61,265.57,more info,2048
Quick Fix Tortellini Soup,Italian,Italian,6,1005.49,100.74,59.98,more info,2049
Mama's Hearty Minestrone,Italian,Italian,8,1482.93,121.22,77.71,more info,2050
Mom's Italian Beef Barley Soup,Italian,Italian,6,1808.83,177.44,104.68,more info,2051
Mediterranean Fish Soup,Italian,Italian,6,1210.05,216.31,12.52,more info,2052
Tomato Zucchini Soup,Italian,Italian,4,609.92,33.42,36.23,more info,2053
Italian Style Chili,Italian,Italian,6,1044.52,131.61,41.54,more info,2054
Tuscan Bean Soup (Ribollita),Italian,Italian,6,636.84,20.41,19.66,more info,2055
MeMe's Pasta Fagioli,Italian,Italian,8,815.81,120.16,29.38,more info,2056
Rosemarie's Italian Style Soup,Italian,Italian,6,1571.19,68.46,48.66,more info,2057
Slow Cooker Italian Beef Stew,Italian,Italian,8,2211.56,69.72,59.2,more info,2058
"Beans, Greens and Garlic Soup",Italian,Italian,6,789.28,69.35,42.94,more info,2059
Italian Onion Soup,Italian,Italian,4,849.86,25.18,5.52,more info,2060
Rich Italian Sausage and Potato Soup,Italian,Italian,7,1785,69.35,157.53,more info,2061
Pastini Soup,Italian,Italian,4,13.12,0.69,0.07,more info,2062
Hearty Italian Lentil Soup,Italian,Italian,8,1197.27,103.76,76.83,more info,2063
Quick Tortellini Soup,Italian,Italian,6,1271.92,70.76,51.89,more info,2064
Italian Meatball and Cheese Tortellini Soup,Italian,Italian,6,2166.53,166.45,50.94,more info,2065
Spicy Sausage Soup with Cilantro,Italian,Italian,8,2099.64,258.8,13.11,more info,2066
Potato Soup Italian Style,Italian,Italian,4,704.02,26.77,59.67,more info,2067
Italian Spinach Soup with Meatballs,Italian,Italian,6,584.97,8.95,41.9,more info,2068
Sweet Italian Chicken Sausage and Tortellini Soup,Italian,Italian,12,2142.91,148.25,54.9,more info,2069
Root Vegetables Baked in Pesto Sauce,Italian,Italian,4,720.35,9.52,42.16,more info,2070
Old-Fashioned Italian Zucchini Fritters,Italian,Italian,25,4347.04,51.1,467.23,more info,2071
Garlic Spaghetti II,Italian,Italian,8,637.17,3.71,56.66,more info,2072
Paula's Polenta with Mushroom Topping,Italian,Italian,4,1359.21,101.13,60.82,more info,2073
Fried Stuffed Squash Blossoms,Italian,Italian,12,435.58,12.72,15.24,more info,2074
Easy Oven-Baked Real Polenta (Not Instant),Italian,Italian,4,290.7,4.2,22.39,more info,2075
Greens and Beans,Italian,Italian,8,512.15,2.69,54.33,more info,2076
Pasta with Fennel and Onions,Italian,Italian,8,653.37,40.17,27.41,more info,2077
How to Make Farinata,Italian,Italian,6,597.15,0.01,67.52,more info,2078
Zucchini Saute,Italian,Italian,6,374.41,16.72,17.58,more info,2079
Italian Peas,Italian,Italian,6,684.42,27.1,29.18,more info,2080
Italian Kale,Italian,Italian,4,151.97,0.34,13.51,more info,2081
Baked Polenta with Fresh Tomatoes and Parmesan,Italian,Italian,4,610.75,46.28,20.07,more info,2082
Magaricz,Italian,Italian,10,589.84,2.84,54.45,more info,2083
"Peppers Roasted with Garlic, Basil and Tomatoes",Italian,Italian,6,41.4,2.02,0.23,more info,2084
Provincial Tomatoes,Italian,Italian,4,442.24,23.03,17.71,more info,2085
Asparagus with Pecans and Parm,Italian,Italian,6,532.84,26.37,19.6,more info,2086
Kelli's Fried Green Zucchini,Italian,Italian,4,1103.31,36.06,81.91,more info,2087
Lemon String Beans,Italian,Italian,5,635.86,8.7,55.15,more info,2088
Panzanella Salad Skewers,Italian,Italian,6,172.98,1.93,16.91,more info,2089
Buck's Italian-Grilled Asparagus,Italian,Italian,4,1055.47,34.77,85.71,more info,2090
Ricotta Stuffed Squash,Italian,Italian,8,1286.3,82.88,89.43,more info,2091
Savory Green Beans,Italian,Italian,6,401.77,33.28,2.08,more info,2092
Rice Balls a la Tim,Italian,Italian,4,1751.02,109.03,33.59,more info,2093
Stuffed Zucchini Halves,Italian,Italian,6,259.84,11.16,18.83,more info,2094
Zucchini Orzo,Italian,Italian,4,594.05,69.73,29.5,more info,2095
Southern Italian Thanksgiving Stuffing,Italian,Italian,12,2550.38,133.83,190.14,more info,2096
Cuke-a-Mato Broiled Polenta,Italian,Italian,6,1811.13,376.08,11.27,more info,2097
Poor Mamma's Spaghetti,Italian,Italian,4,362.49,0.19,40.51,more info,2098
Tuscan Bean 'Goppel',Italian,Italian,8,149.06,7.76,8.47,more info,2099
Sauteed Swiss Chard with Parmesan Cheese,Italian,Italian,4,462.7,9.93,41.97,more info,2100
Fried Squash Blossoms,Italian,Italian,4,381.68,12.56,36.51,more info,2101
A New Green Bean Casserole,Italian,Italian,6,617.85,28.33,3.23,more info,2102
Soft Polenta with Spicy Tomato Sauce,Italian,Italian,4,933.2,33.67,33.67,more info,2103
Easy Polenta with Tomato Sauce,Italian,Italian,6,1173.96,69.56,29.86,more info,2104
Italian Roasted Cauliflower,Italian,Italian,4,339.52,10.04,16.48,more info,2105
Creamy Parmesan Polenta,Italian,Italian,4,231.89,27.37,4.69,more info,2106
Goat Cheese Stuffed Tomatoes,Italian,Italian,4,939.36,42.99,69.57,more info,2107
Italian Green Beans,Italian,Italian,4,543.81,19.22,33.8,more info,2108
Irresistible Italian Corn,Italian,Italian,4,590.02,16.76,15.8,more info,2109
Broccoli Rabe with Roasted Peppers,Italian,Italian,6,65.2,5.12,0.63,more info,2110
Morgan's Breakfast Polenta,Italian,Italian,6,771.74,25.86,46.18,more info,2111
How to Make Perfect Polenta,Italian,Italian,4,256.5,8.01,21.6,more info,2112
Mushrooms and Spinach Italian Style,Italian,Italian,4,742.6,18.3,57.15,more info,2113
Zucchini Ribbons With Goat Cheese,Italian,Italian,4,604.24,31.92,47.41,more info,2114
Italian Mashed Potatoes,Italian,Italian,6,179.74,6.6,3.98,more info,2115
Sweet Potato Gnudi with Sage Butter,Italian,Italian,8,1382.51,60.1,99.67,more info,2116
Elegant Orzo with Wilted Spinach and Pine Nuts,Italian,Italian,8,2084.61,25.06,214.93,more info,2117
"Orzo with Tomatoes, Basil, and Gorgonzola",Italian,Italian,4,451.81,9.58,25.26,more info,2118
Eggplant and Tomato Bake,Italian,Italian,8,823.05,39.44,21.39,more info,2119
Garlic Penne Pasta,Italian,Italian,8,693.16,15.28,56.19,more info,2120
Roasted Roma Tomatoes and Garlic,Italian,Italian,4,531,2.28,54.18,more info,2121
Italian Zucchini Saute,Italian,Italian,4,1063,3.86,109.12,more info,2122
Tuscan-Herbed Roasted Potatoes,Italian,Italian,6,516.2,101.66,3.62,more info,2123
Cacio e Pepe e Fagioli and Stuff,Italian,Italian,4,466.25,33.93,17.84,more info,2124
Key West Penne,Italian,Italian,6,930.66,148.37,10.8,more info,2125
Stewed Tomatoes Spiced with Mustard,Italian,Italian,4,23.2,0.94,0.42,more info,2126
Parmesan Zucchini Patties,Italian,Italian,7,996.23,39.49,50.02,more info,2127
"Potato, Rice and Zucchini Bake",Italian,Italian,6,1350.45,40.6,9.44,more info,2128
Jasmine's Brussels Sprouts,Italian,Italian,4,650.17,60.83,29.59,more info,2129
