Ingredient Name,Quantity,Unit,State,Energy (kcal),Carbohydrates,Protein (g),Total Lipid (Fat) (g),recipe_key
milk,3,cups,,446.52,34.98,23.05,23.93,2289
parmesan cheese,1,cup,grated,296,32,32,4,2289
mozzarella cheese,5,cups,shredded,-,-,-,-,2289
olive oil,1,teaspoon,,477.36,0,0,54,2290
penne pasta,1/2,cup,uncooked,-,-,-,-,2290
olive oil,1/4,cup,,477.36,0,0,54,2290
white pepper,1/4,teaspoon,,1.77,0.41,0.06,0.01,2290
dill weed,1/4,teaspoon,,0.01,0,0,0,2290
salt,1/4,teaspoon,,-,-,-,-,2290
salmon fillet,1/2,pound,,321.86,0,44.97,14.37,2290
salt,1,pinch,,-,-,-,-,2290
asparagus,1/2,cup,cut,13.4,2.59,1.47,0.08,2290
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,2290
lemon,2,slices,,-,-,-,-,2290
heavy cream,1 1/2,cups,,612,4.93,5.11,64.94,2290
parmesan cheese,1/4,cup,grated,74,8,8,1,2290
salt,1,pinch,,-,-,-,-,2290
butter,1/2,cup,,684,31.42,21.37,57.6,2291
garlic,5,cloves,minced,22.35,4.95,0.95,0.07,2291
white wine,2,cups,,-,-,-,-,2291
oregano,1,tablespoon,,7.95,2.06,0.27,0.12,2291
parsley,1,tablespoon,,1.36,0.24,0.11,0.03,2291
red pepper flake,1,teaspoon,crushed,-,-,-,-,2291
clam,36,,,10536.61,437.39,1797.34,117.61,2291
pasta,8,ounces,,156.48,22.67,3.49,5.23,2292
olive oil,1/2,cup,,954.72,0,0,108,2292
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,2292
tomato,2,cups,chopped pushed,82.8,18.36,4.32,0.72,2292
anchovy filet,4,,rinsed chopped,-,-,-,-,2292
tomato paste,2,tablespoons,,26.24,6.05,1.38,0.15,2292
caper,3,tablespoons,,5.93,1.26,0.6,0.22,2292
greek olive,20,,pitted chopped,-,-,-,-,2292
red pepper flake,1/2,teaspoon,crushed,-,-,-,-,2292
shrimp,2,pounds,peeled deveined,770.66,0,182.24,4.62,2293
garlic,4,cloves,peeled minced,17.88,3.96,0.76,0.06,2293
olive oil,2,tablespoons,,238.68,0,0,27,2293
plum tomato,8,,chopped,-,-,-,-,2293
salt,,,,-,-,-,-,2293
cayenne pepper,,,,-,-,-,-,2293
butter,1,tablespoon,,85.5,3.92,2.67,7.2,2293
extra virgin olive oil,1,cup,,-,-,-,-,2294
lemon,1/2,,juiced,0.55,0.17,0,0,2294
mint,1,sprig,chopped,-,-,-,-,2294
sage,1,sprig,chopped,-,-,-,-,2294
thyme,1,sprig,chopped,-,-,-,-,2294
salt black pepper,to taste,,ground,-,-,-,-,2294
pine nut,3 1/2,ounces,,667.78,12.97,13.58,67.84,2294
trout,4,,sliced,167.73,0,23.53,7.49,2294
onion,1,,sliced,28,6.53,0.77,0.07,2294
white wine,1/2,cup,,-,-,-,-,2294
water,5,cups,,0,0,0,0,2295
clam juice,16,fluid ounces,bottled,-,-,-,-,2295
clam,1,can,chopped drained,292.68,12.14,49.92,3.26,2295
butter,1/4,cup,,342,15.71,10.68,28.8,2295
yellow onion,1,,chopped,114.84,6.83,0.82,9.39,2295
arborio rice,2,cups,,-,-,-,-,2295
white wine,3/4,cup,,-,-,-,-,2295
saffron,1/2,teaspoon,,1.08,0.22,0.04,0.02,2295
basil,1,teaspoon,,0.2,0.02,0.02,0,2295
salmon,8,ounces,cooked,321.86,0,44.97,14.37,2295
kosher salt,,,,-,-,-,-,2295
black pepper,,,ground,-,-,-,-,2295
olive oil,2 1/2,tablespoons,,298.35,0,0,33.75,2296
onion,3/4,cup,chopped,48,11.2,1.32,0.12,2296
garlic,2,cloves,chopped,8.94,1.98,0.38,0.03,2296
white,1,can,solid drained,189.44,2.65,39.71,0.61,2296
tomato,1,can,peeled chopped,62.06,13.76,3.23,0.53,2296
black olive,1,can,drained halved,-,-,-,-,2296
basil,1/2,teaspoon,,0.1,0.01,0.01,0,2296
oregano,1/4,teaspoon,,0.66,0.17,0.02,0.01,2296
black pepper,to taste,,ground,0,0,0,0,2296
tomato puree,1,can,,312.36,73.81,13.56,1.72,2296
angel hair pasta,1,package,uncooked,-,-,-,-,2296
parmesan cheese,1/2,cup,grated,148,16,16,2,2296
squid,2,pounds,sliced,834.62,27.94,141.34,12.51,2297
salt,1,teaspoon,,-,-,-,-,2297
purpose flour,1,cup,,-,-,-,-,2297
vegetable oil,1/2,cup,,939.58,0,0,109,2297
black pepper,1,pinch,ground,0.36,0.09,0.01,0,2297
bread crumb,3/4,cup,,319.95,58.3,10.81,4.29,2298
extra virgin olive oil,6,tablespoons,divided,201.73,0,44.88,1.13,2298
saffron,1,pinch,,0.13,0.02,0,0,2298
white wine,1/4,cup,,-,-,-,-,2298
bucatini pasta,1/2,pound,,201.73,0,44.88,1.13,2298
yellow onion,1,cup,diced,64,14.94,1.76,0.16,2298
fennel bulb,1,cup,diced,26.97,6.35,1.07,0.17,2298
salt,to taste,,,-,-,-,-,2298
golden raisin,1/4,cup,,124.57,32.8,1.39,0.18,2298
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,2298
anchovy fillet,1,,,201.73,0,44.88,1.13,2298
sardine oil,2,cans,drained crumbled packed,5885.31,0,0,652.47,2298
pine nut,1/4,cup,toasted,227.13,4.41,4.62,23.07,2298
red pepper flake,1,pinch,,201.73,0,44.88,1.13,2298
fennel frond,3,tablespoons,chopped,201.73,0,44.88,1.13,2298
vegetable oil,3,cups,,5637.48,0,0,654,2299
purpose flour,1/4,cup,,-,-,-,-,2299
salt,1,teaspoon,,-,-,-,-,2299
oregano,1,teaspoon,,2.65,0.68,0.09,0.04,2299
black pepper,1/2,teaspoon,ground,2.88,0.73,0.11,0.03,2299
squid,12,,sliced,5007.75,167.65,848.05,75.11,2299
lemon,1,,cut,1.28,0.41,0.04,0.01,2299
sauce,Tomato-Seafood,,,0,0,0,0,2300
butter,2,tablespoons,,171,7.85,5.34,14.4,2300
onion,1,,chopped,64,14.94,1.76,0.16,2300
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,2300
celery,1,,minced,16.16,2.99,0.69,0.17,2300
olive oil,2,tablespoons,,238.68,0,0,27,2300
italian seasoning,1,tablespoon,,252.16,0,56.1,1.41,2300
parsley,2,tablespoons,minced,2.73,0.48,0.22,0.06,2300
bouillon cube,1 1/2,cubes,fish-flavored,23.65,3.5,0.9,0.75,2300
red wine,1,cup,,-,-,-,-,2300
tomato,3,cups,canned diced,124.2,27.54,6.48,1.08,2300
white sugar,1,tablespoon,,48.76,12.59,0,0,2300
cayenne pepper,1,pinch,,0.35,0.06,0.01,0.01,2300
paprika,1,pinch,,0.4,0.07,0.02,0.01,2300
seafood,1,pound,mixed frozen,252.16,0,56.1,1.41,2300
squid,4,,cut,1669.25,55.88,282.68,25.03,2300
salt pepper,to taste,,,252.16,0,56.1,1.41,2300
polenta,,,,252.16,0,56.1,1.41,2300
water,3,cups,,0,0,0,0,2300
polenta,1,cup,coarse,252.16,0,56.1,1.41,2300
baby spinach leaf,1/2,cup,,252.16,0,56.1,1.41,2300
parmesan cheese,1/4,cup,grated,74,8,8,1,2300
mozzarella cheese,1/4,cup,shredded,-,-,-,-,2300
garlic salt,to taste,,,252.16,0,56.1,1.41,2300
vegetable mix,,,,252.16,0,56.1,1.41,2300
olive oil,2,tablespoons,,238.68,0,0,27,2300
red onion,1,,diced,-,-,-,-,2300
zucchini,2,,cut,4.62,0.68,0.59,0.08,2300
cremini mushroom,10,,sliced,252.16,0,56.1,1.41,2300
balsamic vinegar,1,tablespoon,,14.08,2.72,0.07,0,2300
sea salt pepper,to taste,,,252.16,0,56.1,1.41,2300
bucatini pasta,1,pound,,403.46,0,89.76,2.26,2301
anchovy fillet,1,can,,403.46,0,89.76,2.26,2301
red pepper flake,1,teaspoon,,403.46,0,89.76,2.26,2301
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,2301
zucchini,2,halved,cut,-,-,-,-,2301
grape tomato,1,pint,,403.46,0,89.76,2.26,2301
oregano,2,teaspoons,,5.3,1.37,0.18,0.08,2301
basil,2,teaspoons,,0.4,0.04,0.05,0.01,2301
shrimp,1,pound,peeled deveined,385.33,0,91.12,2.31,2301
olive oil,1/4,cup,,477.36,0,0,54,2302
shallot,1,,minced,115.2,26.88,4,0.16,2302
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,2302
red pepper flake,1,tablespoon,,-,-,-,-,2302
tomato,1,can,fire-roasted diced,62.06,13.76,3.23,0.53,2302
tomato paste,3,tablespoons,,39.36,9.07,2.07,0.22,2302
white wine,1/2,cup,,-,-,-,-,2302
shrimp,1,pound,peeled deveined,385.33,0,91.12,2.31,2302
parsley,1,tablespoon,,1.36,0.24,0.11,0.03,2302
basil,1/2,tablespoon,,0.3,0.03,0.04,0,2302
black pepper,1 to taste,pinch,ground,0,0,0,0,2302
ahi tuna steak,2,,cut,50.43,0,11.22,0.28,2303
garlic,2,cloves,bruised,8.94,1.98,0.38,0.03,2303
thyme,6,sprigs,,-,-,-,-,2303
red pepper flake,1,pinch,,50.43,0,11.22,0.28,2303
olive oil,2,cups,,3818.88,0,0,432,2303
sea salt,to taste,,,50.43,0,11.22,0.28,2303
salmon,5,ounces,smoked cut,165.84,0,25.91,6.12,2304
onion,1,,chopped,64,14.94,1.76,0.16,2304
garlic,1,clove,crushed,4.47,0.99,0.19,0.01,2304
mushroom,2,cups,sliced,-,-,-,-,2304
basil pesto sauce,3/4,cup,,-,-,-,-,2304
tomato paste,3,tablespoons,,39.36,9.07,2.07,0.22,2304
olive oil,2,tablespoons,,238.68,0,0,27,2304
basil,1,tablespoon,chopped,0.6,0.07,0.08,0.01,2304
water,1/4,cup,,0,0,0,0,2304
spaghetti,8,ounces,,70.3,15.67,1.45,1.29,2304
fettucine,8,ounces,,201.73,0,44.88,1.13,2305
butter,3,tablespoons,,256.5,11.78,8.01,21.6,2305
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,2305
purpose flour,3,tablespoons,,201.73,0,44.88,1.13,2305
salt black pepper,to taste,,,201.73,0,44.88,1.13,2305
cayenne pepper,1/2,teaspoon,,2.86,0.5,0.1,0.15,2305
half,2,cups,,-,-,-,-,2305
cream cheese,1,package,softened,-,-,-,-,2305
parmesan cheese,1/2,cup,grated,148,16,16,2,2305
crabmeat,8,ounces,flaked,201.73,0,44.88,1.13,2305
broccoli floret,1,bunch,,-,-,-,-,2306
angel hair pasta,1,package,uncooked,-,-,-,-,2306
margarine,1/4,cup,,405.51,0.5,0.5,45.4,2306
olive oil,2,tablespoons,,238.68,0,0,27,2306
onion,1/2,,chopped,22,5.13,0.6,0.05,2306
garlic,2,tablespoons,minced,25.33,5.62,1.08,0.08,2306
shrimp,1,pound,thawed,321.86,4.12,61.69,4.57,2306
salt,1/2,teaspoon,,-,-,-,-,2306
black pepper,1/2,teaspoon,ground,2.88,0.73,0.11,0.03,2306
mozzarella cheese,1/4,cup,shredded,-,-,-,-,2306
linguine pasta,1,pound,,1691.76,340.49,59.46,6.88,2307
olive oil,1/2,cup,,954.72,0,0,108,2307
butter,1/2,cup,,684,31.42,21.37,57.6,2307
garlic,4,cloves,minced,17.88,3.96,0.76,0.06,2307
bay scallop,1,pound,,503.2,24.52,93.11,3.8,2307
shrimp,1,pound,peeled deveined,385.33,0,91.12,2.31,2307
clam juice,1,jar,,-,-,-,-,2307
tomato,1/3,cup,chopped sun-dried,13.8,3.06,0.72,0.12,2307
parsley,1/4,cup,chopped,5.4,0.94,0.44,0.11,2307
lemon zest,2 1/2,teaspoons,,-,-,-,-,2307
salt,1/4,teaspoon,,-,-,-,-,2307
red pepper flake,1/4,teaspoon,crushed,-,-,-,-,2307
olive oil,1,tablespoon,,119.34,0,0,13.5,2308
onion,1,cup,sliced,64,14.94,1.76,0.16,2308
garlic,3,cloves,minced,13.41,2.97,0.57,0.04,2308
italian seasoning,1 1/2,teaspoons,divided,-,-,-,-,2308
zucchini,1,cup,sliced,-,-,-,-,2308
yellow squash,1,cup,sliced,24.13,4.92,1.28,0.34,2308
black olive,1/4,cup,chopped,-,-,-,-,2308
caper,1/4,cup,,7.91,1.68,0.81,0.29,2308
fillet,4,cod,,-,-,-,-,2308
tomato,2,,chopped,80.41,17.37,3.93,0.89,2308
kosher salt,1/2,teaspoon,,-,-,-,-,2308
black pepper,1/4,teaspoon,ground,1.44,0.36,0.05,0.01,2308
mozzarella cheese,1,cup,shredded,-,-,-,-,2308
olive oil,2,tablespoons,divided,238.68,0,0,27,2309
arborio rice,2,cups,,-,-,-,-,2309
vegetable broth,4,cups,boiling,649.44,105.28,23.81,15.35,2309
garlic,2,teaspoons,minced,8.34,1.85,0.35,0.02,2309
leek,1,,chopped,-,-,-,-,2309
red chile pepper,1,,chopped,-,-,-,-,2309
shrimp,1,pound,peeled deveined,385.33,0,91.12,2.31,2309
scallop,1/2,pound,,156.4,7.2,27.33,1.11,2309
spinach leaf,1,bag,,-,-,-,-,2309
red bell pepper,1/2,,chopped,-,-,-,-,2309
pepper,1,teaspoon,ground,5.77,1.47,0.23,0.07,2309
lasagna noodle,1,package,,403.46,0,89.76,2.26,2310
olive oil,2,tablespoons,,238.68,0,0,27,2310
garlic,1,clove,minced,4.47,0.99,0.19,0.01,2310
baby portobello mushroom,1,pound,sliced,403.46,0,89.76,2.26,2310
alfredo pasta sauce,2,jars,,403.46,0,89.76,2.26,2310
shrimp,1,pound,peeled deveined,385.33,0,91.12,2.31,2310
bay scallop,1,pound,,503.2,24.52,93.11,3.8,2310
crabmeat,1,pound,chopped,403.46,0,89.76,2.26,2310
ricotta cheese,20,ounces,,986.56,17.23,63.84,73.59,2310
egg,1,,,71.5,0.36,6.28,4.75,2310
black pepper,,,,-,-,-,-,2310
italian cheese,6,cups,shredded blend,-,-,-,-,2310
penne pasta,1,package,,-,-,-,-,2311
olive oil,2,tablespoons,,238.68,0,0,27,2311
red onion,1/4,cup,chopped,16,3.73,0.44,0.04,2311
garlic,1,tablespoon,chopped,12.66,2.81,0.54,0.04,2311
white wine,1/4,cup,,-,-,-,-,2311
tomato,2,cans,diced,80.41,17.37,3.93,0.89,2311
shrimp,1,pound,peeled deveined,385.33,0,91.12,2.31,2311
parmesan cheese,1,cup,grated,296,32,32,4,2311
spaghetti,1,package,,-,-,-,-,2312
basil leaf,1,cup,,-,-,-,-,2312
lemon juice,1/4,cup,,13.42,4.2,0.21,0.14,2312
olive oil,3,tablespoons,,358.02,0,0,40.5,2312
garlic,1,clove,,4.47,0.99,0.19,0.01,2312
salt,1/2,teaspoon,,-,-,-,-,2312
olive oil,2,teaspoons,,358.02,0,0,40.5,2312
sugar snap pea,1,package,,-,-,-,-,2312
shrimp,3/4,pound,peeled deveined,289,0,68.34,1.73,2312
red pepper,1/8,teaspoon,crushed,0.15,0.03,0,0,2312
tilapia fillet,4,,,1613.87,0,359.04,9.06,2313
olive oil,2,tablespoons,,238.68,0,0,27,2313
creole seasoning,1,tablespoon,,1613.87,0,359.04,9.06,2313
butter,3,tablespoons,,256.5,11.78,8.01,21.6,2313
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,2313
alfredo sauce,1,cup,,-,-,-,-,2313
penne pasta,1 1/2,pounds,,2537.64,510.74,89.19,10.32,2314
extra virgin olive oil,1,tablespoon,,163.9,0,36.46,0.92,2314
onion,1,,chopped,64,14.94,1.76,0.16,2314
garlic,4,cloves,sliced,17.88,3.96,0.76,0.06,2314
tomato,4,cups,canned crushed,165.6,36.72,8.64,1.44,2314
caper,3,tablespoons,,5.93,1.26,0.6,0.22,2314
green olive,1/2,cup,pitted halved,163.9,0,36.46,0.92,2314
red pepper,1 1/2,teaspoons,crushed,1.87,0.41,0.08,0.02,2314
anchovy filet,3,,rinsed chopped,163.9,0,36.46,0.92,2314
basil,6,leaves,,0.69,0.07,0.09,0.01,2314
salt,1,pinch,,-,-,-,-,2314
black pepper,to taste,,ground,0,0,0,0,2314
red wine,2/3,cup,,-,-,-,-,2314
mushroom,1,cup,sliced,-,-,-,-,2314
pancetta bacon,6 1/2,ounces,chopped,163.9,0,36.46,0.92,2314
potato,1,pound,,349.26,79.33,9.29,0.4,2315
extra virgin olive oil,3,tablespoons,,201.73,0,44.88,1.13,2315
sardine,4,cans,drained,11770.62,0,0,1304.94,2315
cherry tomato,1/2,pound,diced,201.73,0,44.88,1.13,2315
garlic,2,cloves,chopped,8.94,1.98,0.38,0.03,2315
basil,1,tablespoon,,0.6,0.07,0.08,0.01,2315
bread crumb,2,tablespoons,,53.32,9.71,1.8,0.71,2315
butter,1/2,cup,,85.5,3.92,2.67,7.2,2316
white onion,1/2,,sliced,32,7.47,0.88,0.08,2316
garlic,2,cloves,minced divided,8.94,1.98,0.38,0.03,2316
salmon steak,2,,,806.93,0,179.52,4.53,2316
semi white wine,1,cup,,806.93,0,179.52,4.53,2316
heavy whipping cream,1,cup,,408,3.28,3.4,43.29,2316
butter,1,tablespoon,,85.5,3.92,2.67,7.2,2316
spinach,2,cups,chopped,13.8,2.17,1.71,0.23,2316
flounder fillet,2,pounds,,806.93,0,179.52,4.53,2317
butter,1/2,tablespoon,,42.75,1.96,1.33,3.6,2317
salt pepper,to taste,,,806.93,0,179.52,4.53,2317
lemon juice,1,tablespoon,,3.35,1.05,0.05,0.03,2317
tomato,1/2,cup,diced,13.41,2.89,0.65,0.14,2317
basil,2,teaspoons,,0.4,0.04,0.05,0.01,2317
garlic powder,1,teaspoon,,10.26,2.25,0.51,0.02,2317
fine bread crumb,1/4,cup,,-,-,-,-,2318
parmesan cheese,2,tablespoons,grated,37,4,4,0.5,2318
cornmeal,1,tablespoon,,27.6,5.86,0.61,0.27,2318
olive oil,1,teaspoon,,39.78,0,0,4.5,2318
italian seasoning,1/2,teaspoon,,-,-,-,-,2318
garlic powder,1/8,teaspoon,,1.28,0.28,0.06,0,2318
black pepper,1/8,teaspoon,ground,0.72,0.18,0.02,0,2318
fillet cod,4,,,-,-,-,-,2318
egg white,1,,beaten,17.16,0.24,3.59,0.05,2318
olive oil,3,tablespoons,divided,358.02,0,0,40.5,2319
lemon juice,1,tablespoon,,3.35,1.05,0.05,0.03,2319
salt pepper,to taste,,,-,-,-,-,2319
swordfish,1 1/4,pounds,cut,816,0,111.4,37.68,2319
onion,1,,chopped,28,6.53,0.77,0.07,2319
purpose flour,1,teaspoon,,-,-,-,-,2319
white wine,1 1/2,cups,,-,-,-,-,2319
fava bean,1,can,drained,766.86,131.08,58.74,3.44,2319
parsley,1,bunch,chopped,-,-,-,-,2319
chipotle pepper adobo sauce,1,can,,-,-,-,-,2320
milk,1/2,cup,,74.42,5.83,3.84,3.98,2320
shrimp,3,pounds,peeled deveined,1156,0,273.36,6.93,2320
wheat linguine,8,ounces,,201.73,0,44.88,1.13,2321
extra virgin olive oil,1/4,cup,,201.73,0,44.88,1.13,2321
salad shrimp,1,package,cooked thawed,201.73,0,44.88,1.13,2321
garlic,6,cloves,minced,26.82,5.95,1.14,0.09,2321
red pepper flake,1,teaspoon,crushed,201.73,0,44.88,1.13,2321
artichoke heart,1,can,quartered drained,201.73,0,44.88,1.13,2321
black olive,1/2,cup,sliced,201.73,0,44.88,1.13,2321
lemon juice,1/4,cup,,13.42,4.2,0.21,0.14,2321
salt,1/8,teaspoon,,-,-,-,-,2321
parmesan cheese,1/2,cup,grated,148,16,16,2,2321
quinoa,1/4,cup,,-,-,-,-,2322
water,1/2,cup,,0,0,0,0,2322
parsley,1,tablespoon,chopped,1.36,0.24,0.11,0.03,2322
basil,1,tablespoon,chopped,0.6,0.07,0.08,0.01,2322
lemon zest,1,teaspoon,,1613.87,0,359.04,9.06,2322
sole fillet,4,,,1613.87,0,359.04,9.06,2322
parmesan cheese,2,tablespoons,grated,37,4,4,0.5,2322
lemon,4,slices,,-,-,-,-,2322
black pepper,,,ground,-,-,-,-,2322
red wine vinegar,2,tablespoons,,5.66,0.08,0.01,0,2322
water,1/2,cup,,0,0,0,0,2322
extra virgin olive oil,2,tablespoons,,403.46,0,89.76,2.26,2323
butter,2,tablespoons,,171,7.85,5.34,14.4,2323
garlic,1,tablespoon,minced,12.66,2.81,0.54,0.04,2323
tilapia fillet,1,pound,,403.46,0,89.76,2.26,2323
salt black pepper,to taste,,ground,403.46,0,89.76,2.26,2323
button mushroom,1/2,cup,sliced,403.46,0,89.76,2.26,2323
caper,2,tablespoons,drained,3.95,0.84,0.4,0.14,2323
white wine,1/2,cup,,-,-,-,-,2323
lemon,1,,juiced,1.11,0.35,0.01,0.01,2323
asparagus,1,bunch,trimmed cut,-,-,-,-,2324
olive oil,3/4,cup,,1432.08,0,0,162,2324
garlic,6,cloves,,26.82,5.95,1.14,0.09,2324
salt pepper,to taste,,,403.46,0,89.76,2.26,2324
fettuccine pasta,1,pound,,403.46,0,89.76,2.26,2324
olive oil,2,teaspoons,,1432.08,0,0,162,2324
shrimp,1,pound,uncooked peeled deveined,385.33,0,91.12,2.31,2324
parmesan cheese,1,cup,shredded,296,32,32,4,2324
angel hair pasta,1,package,uncooked,-,-,-,-,2325
butter,2,tablespoons,,171,7.85,5.34,14.4,2325
onion,2,tablespoons,diced,8,1.86,0.22,0.02,2325
feta cheese,4,ounces,crumbled,299.37,4.63,16.11,24.13,2325
shrimp,1/2,pound,peeled deveined,192.66,0,45.56,1.15,2325
fettuccini noodle,8,ounces,,201.73,0,44.88,1.13,2326
olive oil,3,tablespoons,,358.02,0,0,40.5,2326
onion,1/2,cup,chopped,32,7.47,0.88,0.08,2326
green bell pepper,1/2,cup,chopped,14.59,3.19,0.5,0.18,2326
italian seasoning,2,tablespoons,,201.73,0,44.88,1.13,2326
kalamata olive,1/2,cup,pitted,201.73,0,44.88,1.13,2326
lemon,1,,juiced,1.11,0.35,0.01,0.01,2326
red salmon,1,can,drained,-,-,-,-,2326
cream,1,container,sour,-,-,-,-,2326
yogurt,1,container,low-fat,107.1,11.96,8.92,2.63,2326
blue cheese,2,ounces,crumbled,274.42,2.7,0.77,28.97,2326
butter,3/4,cup,divided,1026,47.14,32.05,86.4,2327
olive oil,,,,-,-,-,-,2327
onion,1/4,cup,diced,16,3.73,0.44,0.04,2327
garlic,2,tablespoons,crushed,25.33,5.62,1.08,0.08,2327
shrimp,2,pounds,uncooked peeled deveined,770.66,0,182.24,4.62,2327
white wine,2,cups,,-,-,-,-,2327
tomato,1,can,diced,40.2,8.68,1.96,0.44,2327
lemon,1/2,,juiced,0.55,0.17,0,0,2327
zucchini,4,,cut,9.24,1.36,1.19,0.17,2327
salt black pepper,to taste,,ground,-,-,-,-,2327
parmesan cheese,1/4,cup,grated,74,8,8,1,2327
linguine pasta,1,package,,-,-,-,-,2328
olive oil,1/4,cup,divided,477.36,0,0,54,2328
onion,1/2,cup,diced,32,7.47,0.88,0.08,2328
thyme,2,tablespoons,chopped,4.84,1.17,0.26,0.08,2328
tuna steak,1 1/2,pounds,cubed,605.2,0,134.64,3.4,2328
white wine,1/2,cup,,-,-,-,-,2328
chicken stock,2,cups,,172.8,16.94,12.09,5.76,2328
lemon juice,1/4,cup,,13.42,4.2,0.21,0.14,2328
lemon zest,1,tablespoon,,605.2,0,134.64,3.4,2328
tomato,1/2,cup,chopped oil-packed sun-dried,20.7,4.59,1.08,0.18,2328
artichoke heart,3/4,cup,sliced marinated,605.2,0,134.64,3.4,2328
salt black pepper,to taste,,ground,605.2,0,134.64,3.4,2328
linguine pasta,1,package,,-,-,-,-,2329
butter,1,tablespoon,,85.5,3.92,2.67,7.2,2329
extra virgin olive oil,1,tablespoon,,-,-,-,-,2329
shallot,1,,minced,115.2,26.88,4,0.16,2329
salmon,1,ounce,smoked cut,33.16,0,5.18,1.22,2329
cream cheese,1,tablespoon,reduced fat,44.25,0.52,1.06,4.29,2329
milk,3,tablespoons,,27.45,2.15,1.41,1.47,2329
spaghetti,1,package,,-,-,-,-,2330
olive oil,3/4,cup,divided,1432.08,0,0,162,2330
garlic,6,cloves,minced,26.82,5.95,1.14,0.09,2330
olive oil,2,cans,drained,1432.08,0,0,162,2330
bread crumb,1,cup,seasoned,426.6,77.73,14.41,5.72,2330
parmesan cheese,1/3,cup,grated,98.66,10.66,10.66,1.33,2330
parsley,1/4,cup,chopped,5.4,0.94,0.44,0.11,2330
black pepper,1,teaspoon,ground,5.77,1.47,0.23,0.07,2330
parmesan cheese,additional,,,98.66,10.66,10.66,1.33,2330
butter,3/4,cup,,1026,47.14,32.05,86.4,2331
onion,2,,chopped,128,29.88,3.52,0.32,2331
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,2331
parsley,1,bunch,chopped,-,-,-,-,2331
tomato,2,cans,stewed,124.13,27.52,6.47,1.07,2331
chicken broth,2,cans,,189.1,4.57,26.96,6.34,2331
bay leaf,2,,,-,-,-,-,2331
basil,1,tablespoon,,0.6,0.07,0.08,0.01,2331
thyme,1/2,teaspoon,,0.4,0.09,0.02,0,2331
oregano,1/2,teaspoon,,1.32,0.34,0.04,0.02,2331
water,1,cup,,0,0,0,0,2331
white wine,1 1/2,cups,,-,-,-,-,2331
shrimp,1 1/2,pounds,peeled deveined,578,0,136.68,3.46,2331
bay scallop,1 1/2,pounds,,754.8,36.78,139.67,5.71,2331
clam,18,,,139.32,5.78,23.76,1.55,2331
mussel,18,,debearded,7021.74,301.28,971.61,182.89,2331
crabmeat,1 1/2,cups,,-,-,-,-,2331
cod fillet,1 1/2,pounds,cubed,605.2,0,134.64,3.4,2331
linguine pasta,1,package,,-,-,-,-,2332
butter,2,tablespoons,,171,7.85,5.34,14.4,2332
olive oil,1 1/2,tablespoons,,179.01,0,0,20.25,2332
red bell pepper,1/2,cup,chopped,-,-,-,-,2332
yellow bell pepper,1/2,cup,chopped,-,-,-,-,2332
garlic,6,cloves,sliced,26.82,5.95,1.14,0.09,2332
shrimp,48,,peeled deveined,-,-,-,-,2332
white wine,1/2,cup,,-,-,-,-,2332
lemon juice,1,teaspoon,,1.11,0.35,0.01,0.01,2332
clam juice,1/4,cup,,13.28,3.03,0.16,0.05,2332
butter,2,tablespoons,,171,7.85,5.34,14.4,2332
olive oil,1 1/2,tablespoons,,179.01,0,0,20.25,2332
heavy cream,2,tablespoons,,102,0.82,0.85,10.82,2332
red pepper flake,1 1/2,teaspoons,crushed,-,-,-,-,2332
parsley,3,tablespoons,chopped,4.1,0.72,0.33,0.09,2332
sea salt,1,teaspoon,,-,-,-,-,2332
olive oil,2,tablespoons,,238.68,0,0,27,2333
onion,1,,sliced,64,14.94,1.76,0.16,2333
garlic,2,cloves,minced,8.94,1.98,0.38,0.03,2333
tomato,1,can,diced,40.2,8.68,1.96,0.44,2333
black olive,1/2,cup,pitted sliced,403.46,0,89.76,2.26,2333
parsley,1,tablespoon,chopped,1.36,0.24,0.11,0.03,2333
white wine,1/2,cup,,-,-,-,-,2333
cod fillet,1,pound,,403.46,0,89.76,2.26,2333
black rice,1 1/2,cups,,330.69,53.43,10.16,8.43,2334
extra virgin olive oil,3,tablespoons,,126.08,0,28.05,0.7,2334
shallot,1,,minced,115.2,26.88,4,0.16,2334
zucchini,1,,cut,2.31,0.34,0.29,0.04,2334
prawn,5,ounces,peeled,126.08,0,28.05,0.7,2334
white wine,1,cup,,-,-,-,-,2334
chive,1,bunch,chopped,-,-,-,-,2334
extra virgin olive oil,1,teaspoon,,126.08,0,28.05,0.7,2334
linguine pasta,1 1/2,packages,,-,-,-,-,2335
olive oil,1,cup,,1909.44,0,0,216,2335
italian seasoning,1,teaspoon,,-,-,-,-,2335
garlic,1,clove,minced,4.47,0.99,0.19,0.01,2335
olive oil,1,can,drained,1909.44,0,0,216,2335
tomato,1,can,crushed,62.06,13.76,3.23,0.53,2335
clam,1 1/2,pounds,,87.72,3.64,14.96,0.97,2335
